Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Mumbai Indians,Delhi Capitals,157,156,    18.4," 
                    20",5,7,"[' Dubai International Stadium', ' Dubai\n            ']"
Delhi Capitals,Sunrisers Hyderabad,189,172,    20,"      
                    20",3,8,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Sunrisers Hyderabad,Royal Challengers Bangalore,132,131,    19.4,"              
                    20",4,7,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Mumbai Indians,Delhi Capitals,200,143,    20," 
                    20",5,8,"[' Dubai International Stadium', ' Dubai\n            ']"
Sunrisers Hyderabad,Mumbai Indians,151,149,    17.1," 
                    20",0,8,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Delhi Capitals,Royal Challengers Bangalore,154,152,    19,"              
                    20",4,7,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Kolkata Knight Riders,Rajasthan Royals,191,131,    20,"   
                    20",7,9,"[' Dubai International Stadium', ' Dubai\n            ']"
Chennai Super Kings,Punjab Kings,154,153,    18.5,                    20,1,6,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Sunrisers Hyderabad,Royal Challengers Bangalore,121,120,    14.1,"              
                    20",5,7,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Mumbai Indians,Delhi Capitals,111,110,    14.2," 
                    20",1,9,"[' Dubai International Stadium', ' Dubai\n            ']"
Rajasthan Royals,Punjab Kings,186,185,    17.3,                    20,3,4,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Chennai Super Kings,Kolkata Knight Riders,178,172,    20,"        
                    20",4,5,"[' Dubai International Stadium', ' Dubai\n            ']"
Mumbai Indians,Royal Challengers Bangalore,166,164,    19.1,"              
                    20",5,6,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Sunrisers Hyderabad,Delhi Capitals,219,131,    20,    19,2,2,"[' Dubai International Stadium', ' Dubai\n            ']"
Punjab Kings,Kolkata Knight Riders,150,149,    18.5,"        
                    20",2,9,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Rajasthan Royals,Mumbai Indians,196,195,    18.2," 
                    20",2,5,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Chennai Super Kings,Royal Challengers Bangalore,150,145,    18.4,"              
                    20",2,6,"[' Dubai International Stadium', ' Dubai\n            ']"
Punjab Kings,Sunrisers Hyderabad,126,114,    20,         19.5,7,2,"[' Dubai International Stadium', ' Dubai\n            ']"
Kolkata Knight Riders,Delhi Capitals,194,135,    20," 
                    20",6,9,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Mumbai Indians,Chennai Super Kings,116,114,    12.2,"      
                    20",0,9,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Sunrisers Hyderabad,Rajasthan Royals,156,154,    18.1,"   
                    20",2,6,"[' Dubai International Stadium', ' Dubai\n            ']"
Royal Challengers Bangalore,Kolkata Knight Riders,85,84,   13.3,"       
                    20",2,8,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Punjab Kings,Delhi Capitals,167,164,    19," 
                    20",5,5,"[' Dubai International Stadium', ' Dubai\n            ']"
Rajasthan Royals,Chennai Super Kings,126,125,    17.3,"      
                    20",3,5,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Punjab Kings,Mumbai Indians,176,176,    20," 
                    20",6,6,"[' Dubai International Stadium', ' Dubai\n            ']"
Kolkata Knight Riders,Sunrisers Hyderabad,163,163,    20,"      
                    20",5,6,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Delhi Capitals,Chennai Super Kings,185,179,    19.5,"      
                    20",5,4,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Royal Challengers Bangalore,Rajasthan Royals,179,177,    19.4,"   
                    20",3,6,"[' Dubai International Stadium', ' Dubai\n            ']"
Mumbai Indians,Kolkata Knight Riders,149,148,    16.5,"        
                    20",2,5,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Punjab Kings,Royal Challengers Bangalore,177,171,    20,"              
                    20",2,6,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Delhi Capitals,Rajasthan Royals,161,148,    20,"   
                    20",7,8,"[' Dubai International Stadium', ' Dubai\n            ']"
Chennai Super Kings,Sunrisers Hyderabad,167,147,    20,"      
                    20",6,8,"[' Dubai International Stadium', ' Dubai\n            ']"
Royal Challengers Bangalore,Kolkata Knight Riders,194,112,    20,"        
                    20",2,9,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Mumbai Indians,Delhi Capitals,166,162,    19.4," 
                    20",5,4,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Rajasthan Royals,Sunrisers Hyderabad,163,158,    19.5,"      
                    20",5,4,"[' Dubai International Stadium', ' Dubai\n            ']"
Royal Challengers Bangalore,Chennai Super Kings,169,132,    20,"      
                    20",4,8,"[' Dubai International Stadium', ' Dubai\n            ']"
Kolkata Knight Riders,Punjab Kings,164,162,    20,                    20,6,5,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Delhi Capitals,Rajasthan Royals,184,138,    20,      19.4,8,2,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Sunrisers Hyderabad,Punjab Kings,201,132,    20,  16.5,6,2,"[' Dubai International Stadium', ' Dubai\n            ']"
Kolkata Knight Riders,Chennai Super Kings,167,157,,"      
                    20",2,5,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Mumbai Indians,Rajasthan Royals,193,136,    20,      18.1,4,2,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Delhi Capitals,Royal Challengers Bangalore,196,137,    20,"              
                    20",4,9,"[' Dubai International Stadium', ' Dubai\n            ']"
Chennai Super Kings,Punjab Kings,181,178,    17.4,                    20,0,4,"[' Dubai International Stadium', ' Dubai\n            ']"
Mumbai Indians,Sunrisers Hyderabad,208,174,    20,"      
                    20",5,7,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Delhi Capitals,Kolkata Knight Riders,228,210,    20,"        
                    20",4,8,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Royal Challengers Bangalore,Rajasthan Royals,158,154,    19.1,"   
                    20",2,6,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Sunrisers Hyderabad,Chennai Super Kings,164,157,    20,"      
                    20",5,5,"[' Dubai International Stadium', ' Dubai\n            ']"
Mumbai Indians,Punjab Kings,191,143,    20,                    20,4,8,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Kolkata Knight Riders,Rajasthan Royals,174,137,    20,"   
                    20",6,9,"[' Dubai International Stadium', ' Dubai\n            ']"
Sunrisers Hyderabad,Delhi Capitals,162,147,    20," 
                    20",4,7,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Royal Challengers Bangalore,Mumbai Indians,201,201,    20," 
                    20",3,5,"[' Dubai International Stadium', ' Dubai\n            ']"
Rajasthan Royals,Punjab Kings,226,223,    19.3,                    20,6,2,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Kolkata Knight Riders,Sunrisers Hyderabad,145,142,    18,"      
                    20",3,4,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Delhi Capitals,Chennai Super Kings,175,131,    20,"      
                    20",3,7,"[' Dubai International Stadium', ' Dubai\n            ']"
Punjab Kings,Royal Challengers Bangalore,206,109,    20,                 17,3,2,"[' Dubai International Stadium', ' Dubai\n            ']"
Mumbai Indians,Kolkata Knight Riders,195,146,    20,"        
                    20",5,9,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Rajasthan Royals,Chennai Super Kings,216,200,    20,"      
                    20",7,6,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Royal Challengers Bangalore,Sunrisers Hyderabad,163,153,    20,         19.4,5,2,"[' Dubai International Stadium', ' Dubai\n            ']"
Delhi Capitals,Punjab Kings,157,157,    20,                    20,8,8,"[' Dubai International Stadium', ' Dubai\n            ']"
Chennai Super Kings,Mumbai Indians,166,162,    19.2," 
                    20",5,9,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
